epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5645,1.97548,5.80548,3.82027,1.65497,0.00751,0.21147,0.04369,0.02771,0.00177,0.05031,0.02399,0.01234,1.85407,4.59795,3.69535,1.55841,0.0002,0.0002,0.0002
2,127.457,1.99233,4.47461,3.70863,1.68807,0.00666,0.20703,0.03663,0.01556,0.00281,0.08654,0.02229,0.00514,2.01057,5.1015,3.71362,1.6585,0.000404332,0.000404332,0.000404332
3,188.32,1.89119,4.3573,3.53761,1.55434,0.01116,0.32428,0.03301,0.01238,0.00612,0.16897,0.01257,0.00277,2.15245,5.28264,3.69728,1.84669,0.00060025,0.00060025,0.00060025
4,247.622,1.82132,4.02707,3.26967,1.53351,0.0097,0.37462,0.05069,0.02211,0.00527,0.17633,0.01319,0.00241,2.10788,5.35058,3.56583,1.79029,0.000787752,0.000787752,0.000787752
5,306.671,1.8463,3.78956,2.95441,1.52232,0.75633,0.0737,0.09297,0.02853,0.00533,0.17256,0.00673,0.00241,2.10841,5.31476,3.30494,1.7966,0.00096684,0.00096684,0.00096684
6,366.76,1.87943,3.42786,2.83627,1.54985,0.11524,0.21912,0.07379,0.0253,0.07077,0.09243,0.02392,0.00664,2.23961,4.40659,3.42489,1.8906,0.00112625,0.00112625,0.00112625
7,426.427,1.80128,3.50637,2.62719,1.51607,0.11106,0.20344,0.06082,0.02144,0.06224,0.14961,0.02466,0.00682,2.19383,4.15239,3.81058,1.84861,0.0011015,0.0011015,0.0011015
8,486.825,1.89189,3.39211,2.53307,1.5418,0.21051,0.14725,0.08147,0.02384,0.06745,0.14636,0.02715,0.00768,2.26848,3.91851,3.70506,1.82967,0.00107675,0.00107675,0.00107675
9,548.061,1.82988,3.16433,2.37698,1.47913,0.15077,0.20443,0.0865,0.02968,0.10164,0.14345,0.04116,0.01082,2.30155,3.52214,3.0249,1.82066,0.001052,0.001052,0.001052
10,608.617,1.71321,3.15479,2.34276,1.39571,0.19078,0.19857,0.1215,0.04507,0.1775,0.1717,0.0828,0.02272,2.19081,3.38812,2.8432,1.69573,0.00102725,0.00102725,0.00102725
11,670.446,1.78187,3.24011,2.33132,1.43639,0.22056,0.24095,0.16958,0.07148,0.16443,0.20699,0.1083,0.02534,2.11601,3.44233,2.83498,1.68873,0.0010025,0.0010025,0.0010025
12,732.539,1.70983,3.11657,2.19916,1.41823,0.21919,0.24592,0.16599,0.07603,0.17796,0.22312,0.10712,0.02622,2.06037,3.46866,2.5859,1.66289,0.00097775,0.00097775,0.00097775
13,793.409,1.79547,3.16796,2.20584,1.4669,0.2574,0.23878,0.17838,0.08923,0.16419,0.15191,0.09788,0.02613,2.0165,3.52415,2.33739,1.58808,0.000953,0.000953,0.000953
14,855.918,1.90612,3.05873,2.18806,1.50741,0.24515,0.23383,0.17627,0.07808,0.17862,0.19759,0.09686,0.02545,2.03917,3.39618,2.39447,1.59361,0.00092825,0.00092825,0.00092825
15,917.493,1.66565,3.10395,2.24517,1.38687,0.24586,0.21587,0.18765,0.07432,0.17595,0.29085,0.10693,0.02744,2.05635,3.27708,2.40699,1.61178,0.0009035,0.0009035,0.0009035
